Title,Views,Posted
REPROGRAMACIÓN MENTAL: Cambia tus creencias limitantes - Podcast de MINDFUL SCIENCE (3/6),6.8 M de vistas,hace 4 años
Cambia tu cerebro con afirmaciones positivas: GUÍA paso a paso | Mindful Science,4.6 M de vistas,hace 4 años
"Cerrar ciclos, soltar lo viejo y abrirte a nuevos comienzos | Meditacion guiada Mindful Science",4.1 M de vistas,hace 3 años
MEDITACIÓN de la GRATITUD | El poder de agradecer,2.8 M de vistas,hace 3 años
La mejor Meditación GUIADA para soltar el ESTRÉS y la ANSIEDAD🎧 | Mindful Science,2.3 M de vistas,hace 3 años
Tus células escuchan lo que piensas (y CÓMO usarlo a tu favor) | Mindful Science,2.3 M de vistas,hace 4 años
Meditación Guiada: Mindfulness para comenzar tu día | Mindful Science,2.2 M de vistas,hace 2 años
Cómo meditar con mindfulness | La mejor explicación para principiantes,2.1 M de vistas,hace 3 años
Cómo lograr un sueño profundo y reparador CADA NOCHE,2 M de vistas,hace 3 años
¿Por qué nos cuesta tanto cambiar? - Podcast de MINDFUL SCIENCE (1/6),2 M de vistas,hace 4 años
Desarrolla tu fortaleza mental y emocional - Podcast de MINDFUL SCIENCE (4/6),2 M de vistas,hace 4 años
Cómo salir del miedo y la negatividad - Podcast de MINDFUL SCIENCE (2/6),2 M de vistas,hace 4 años
"MEDITACIÓN de la mañana | Comienza el día con energía, optimismo y conciencia",1.9 M de vistas,hace 3 años
Meditación Guiada: Meditación de la mañana| Mindful Science🌞,1.7 M de vistas,hace 2 años
Desarrolla tu resiliencia con estas 3 sencillas estrategias,1.7 M de vistas,hace 4 años
Meditación Guiada: Mindfulness para terminar tu día | Mindful Science,1.5 M de vistas,hace 2 años
🎧Mindfulness: Técnica de RELAJACIÓN para DORMIR profundamente -Mindful Science,1.5 M de vistas,hace 2 años
La meditación guiada PERFECTA para terminar el día | Mindful Science,1.3 M de vistas,hace 3 años
"Si sufres de ansiedad, este vídeo puede cambiar tu vida | Mindful Science",1.2 M de vistas,hace 3 años
MEDITACIÓN GUIADA: PARA AQUIETAR TU MENTE | MINDFULNESS| MINDFUL SCIENCE,1 M de vistas,hace 2 años
1 minuto al día para cambiar tu cerebro (únete al reto)- MINDFUL SCIENCE,859 k vistas,hace 4 años
MEDITACIÓN GUIADA MINDFULNESS: PAZ INTERIOR | MINDFUL SCIENCE,845 k vistas,hace 2 años
Tus palabras cambian tu cerebro | La neurociencia de las afirmaciones positivas,809 k vistas,hace 3 años
MEDITACIÓN GUIADA MINDFULNESS: ESCÁNER CORPORAL | Relaja tu cuerpo físico| Mindful Science.,689 k vistas,hace 2 años
La mejor forma de controlar tu estrés y aliviar tus miedos - Mindful Science,592 k vistas,hace 3 años
5 formas de liberar tus hormonas de la FELICIDAD | MINDFUL SCIENCE,584 k vistas,hace 4 años
Meditación Guiada: Suelta el pasado y disfruta el presente.| Mindful Science,561 k vistas,hace 2 años
Cómo lograr la PAZ INTERIOR - Mindful Science,554 k vistas,hace 3 años
"3 pasos para dominar tu miedo, fortalecer tu mente e impulsar tu vida| Mindful Science",539 k vistas,hace 3 años
Reprogramación mental ¿Cómo cambiar mi mente? Reprograma tu biología | Mindful Science,509 k vistas,hace 4 años
5 BENEFICIOS de la MEDITACIÓN MINDFULNESS que desconocías | MINDFUL SCIENCE,503 k vistas,hace 4 años
"EL EFECTO TELOMERO: cómo vivir más jóvenes, más sanos y más tiempo (Premio Nobel)",493 k vistas,hace 4 años
🎧Mindfulness: Meditación para comenzar el día en Atención Plena | Nayla Funes~Mindful Science [8D],449 k vistas,hace 2 años
🎧Mindfulness: MEDITACIÓN para DORMIR PROFUNDAMENTE/Reduce el Estrés y Relaja tu Cuerpo y Mente🌙,445 k vistas,hace 1 año
Los 3 mejores consejos para crear HÁBITOS que perduran| Mindful Science,416 k vistas,hace 3 años
El secreto del equilibrio emocional - Mindful Science,415 k vistas,hace 3 años
🎧Meditación guiada: Gratitud para comenzar el día,388 k vistas,hace 3 meses
Libera tu potencial y logra tus objetivos vitales - Podcast de MINDFUL SCIENCE (6/6),378 k vistas,hace 4 años
Cómo salir de la angustia y el pensamiento descontrolado | Mindful Science,377 k vistas,hace 4 años
🎧Meditación Guiada para DORMIR -Rutina de Noche para aliviar la ANSIEDAD y el ESTRÉS-Mindful Science,377 k vistas,hace 1 año
Cómo crear una visión de vida con propósito - Podcast de MINDFUL SCIENCE (5/6),376 k vistas,hace 4 años
Neuroplasticidad Cerebral: ¿Cómo Cambiar mis Pensamientos Negativos? | Mindful Science,376 k vistas,hace 3 años
MÚSICA para MEDITAR y RELAJARSE | Reduce la ansiedad y consigue un mejor descanso| Mindful Science🎧,374 k vistas,hace 3 años
MEDITACIÓN PARA COMENZAR EL DÍA: 10 minutos para despertar con una ACTITUD POSITIVA~ Mindfulness,367 k vistas,hace 9 meses
MEDITACIÓN GUIADA MINDFULNESS: CREA CONFIANZA Y SEGURIDAD | MINDFUL SCIENCE,364 k vistas,hace 2 años
🎧SUELTA LA ANSIEDAD: Sana el dolor y la angustia con esta MEDITACIÓN GUIADA /MINDFULNESS,363 k vistas,hace 2 años
🎧Meditación Guiada: COMIENZA EL DÍA activando NEUROTRANSMISORES DE LA FELICIDAD~Emociones Positivas~,353 k vistas,hace 6 meses
🎧Meditación Guiada: PAZ Y CALMA INTERIOR/ Mindfulness en español/ Mindful Science,352 k vistas,hace 1 año
🎧Déjalo ir: meditación guiada para SOLTAR | Mindfulness [Audio 8D] Nayla Funes para Mindful Science,350 k vistas,hace 2 años
🎧Mindfulness: Meditación para RELAJAR LA MENTE Y EL CUERPO~Mindful Science~,348 k vistas,hace 7 meses
🎧LA MEJOR Meditación para COMENZAR EL DÍA con Energía y Entusiasmo- Mindfulness/Mindful Science🌞,345 k vistas,hace 1 año
"COMIENZA EL DÍA Relajado, ENFOCADO y en PAZ| Atención Plena #mindfulness BODY SCAN~Escáner Corporal",348 k vistas,hace 1 mes
